miracle;lexical;None
put;lexical;None
background;lexical;None
price;lexical;None
also;lexical;None
which;lexical;None
cholera;lexical;None
everyone;lexical;None
think;lexical;None
2sg(2pl);grammatical;person_number
understand;lexical;None
important;lexical;None
any;lexical;None
auxfut;grammatical;tense
lead;lexical;None
yes;lexical;answering_particle
big;lexical;None
chance;lexical;None
nsg;grammatical;gender_number
about;lexical;None
quiet;lexical;None
joke;lexical;None
sorely;lexical;None
baloney;lexical;None
different;lexical;None
again;lexical;None
story;lexical;None
curse;lexical;None
something;lexical;None
good;lexical;None
suffice;lexical;None
order;lexical;None
difference;lexical;None
okay;lexical;None
time;lexical;None
foc;grammatical;particle_semantics
1sg;lexical;person_number
end;lexical;None
healthy;lexical;None
wait;lexical;None
dir;grammatical;case
hold;lexical;None
subj;grammatical;mood
relevance;lexical;None
this;lexical;None
essence;lexical;None
must;lexical;None
talk;lexical;None
certainty;lexical;None
ridiculous;lexical;None
quite;lexical;None
ins;grammatical;case
sg;grammatical;number
worry;lexical;None
keep;lexical;None
ptcl;grammatical;POS
straight;lexical;None
gen;grammatical;case
repentance;lexical;None
answer;lexical;None
like;lexical;None
I;lexical;pronoun
become;lexical;None
blabber;lexical;None
far;lexical;None
holy;lexical;None
int;grammatical;None
judge;lexical;None
worth;lexical;None
condition;lexical;None
neither;lexical;None
wrong;lexical;None
peace;lexical;None
listen;lexical;None
where;lexical;None
nom;grammatical;case
dangerous;lexical;None
deix;grammatical;particle_semantics
cover;lexical;None
fuck;lexical;None
normal;lexical;None
do;lexical;None
certain;lexical;None
bullshit;lexical;None
(prt);grammatical;POS
beg;lexical;None
need;lexical;None
cannot;lexical;None
excess;lexical;None
imp;grammatical;mood
to;lexical;preposition
possibility;lexical;None
conj;grammatical;
dispute;lexical;None
sprl;grammatical;degree
impf;grammatical;tense
loc;grammatical;case
nohow;lexical;None
now;lexical;None
from_now_on;lexical;None
tharefore;lexical;None
method;lexical;None
whole;lexical;None
pl;grammatical;number
mean;lexical;None
pay_attention;lexical;None
before;lexical;None
difficult;lexical;None
day;lexical;None
agreeing;lexical;None
honor;lexical;None
luck;lexical;None
theory;lexical;None
who;lexical;interrogative
never;lexical;NPI
msg;grammatical;gender_number
easy;lexical;None
contop;grammatical;particle_semantics
arch;other;None
problem;lexical;None
joy;lexical;None
interj;grammatical;POS
one;lexical;numeral
himself;lexical;None
forbid;lexical;None
stop;lexical;None
wise;lexical;None
flatter;lexical;None
shit;lexical;None
reason;lexical;None
abl;grammatical;case
roll;lexical;None
mother;lexical;None
intj;grammatical;POS
3sg;grammatical;person_number
mislead;lexical;None
little;lexical;None
avoir;lexical;None
give;lexical;None
sound;lexical;None
speech;lexical;None
proh;grammatical;mood
pastp;grammatical;tense
cond;grammatical;mood
dem;grammatical;particle_semantics
if;lexical;None
corpse;lexical;None
treasure;lexical;None
pred;grammatical;verb_form
2pl;grammatical;person_number
exactly;lexical;None
dem2;grammatical;particle_semantics
vbz;lexical;None
add;lexical;None
word;lexical;None
possible;lexical;None
pron;grammatical;POS
under;lexical;preposition
world;lexical;None
well;lexical;None
the;lexical;None
miss;lexical;None
anything;lexical;None
fixable;lexical;None
even;lexical;None
go;lexical;None
with;lexical;None
enim;lexical;None
psr;grammatical;tense
meaning;lexical;None
dear;lexical;None
how;lexical;interrogative
get;lexical;None
complaint;lexical;None
refuse;lexical;None
surely;lexical;None
view;lexical;None
complicate;lexical;None
happen;lexical;None
forget;lexical;None
oblg;grammatical;mood
hard;lexical;None
concern;lexical;None
we;lexical;pronoun
God's;lexical;None
allow;lexical;None
woman;lexical;None
hear;lexical;None
so;lexical;None
there;lexical;None
really;lexical;None
such;lexical;None
mock;lexical;None
option;lexical;None
truth;lexical;None
art;lexical;None
fit;lexical;None
it;lexical;pronoun
exclude;lexical;None
reduc
gledati;lexical;None
theme;lexical;None
scary;lexical;None
suppose;lexical;None
take;lexical;None
aux;grammatical;POS
every;lexical;None
devil;lexical;None
today;lexical;None
neg;grammatical;None
fun;lexical;None
recieve;lexical;None
great;lexical;None
by;lexical;preposition
pleasure;lexical;None
stroke;lexical;None
n;grammatical;gender
thing;lexical;None
possib;lexical;None
refl;grammatical;None
rather;lexical;None
surprising;lexical;None
poss3;grammatical;None
genre;lexical;None
prs;grammatical;tense
count;lexical;None
head;lexical;None
than;lexical;None
case;lexical;None
me;lexical;pronoun
Gracious;lexical;None
all;lexical;None
they;lexical;None
advice;lexical;None
everything;lexical;None
that`s;lexical;None
hope;lexical;None
oh;lexical;interjection
link;lexical;None
always;lexical;None
ever;lexical;None
shame;lexical;None
surprise;lexical;None
grind;lexical;None
yours;lexical;None
look;lexical;None
pass;grammatical;voice
devil2;lexical;None
fool;lexical;None
serious;lexical;None
not;lexical;None
burn;lexical;None
fall;lexical;None
use;lexical;None
your;lexical;None
opt;grammatical;mood
sup;grammatical;degree
reduc;other;None
SG;grammatical;number
necessary;lexical;None
probably;lexical;None
cncs2;grammatical;particle_semantics
too;lexical;None
relax;lexical;None
turn;lexical;None
funny;lexical;None
naturally;lexical;None
accept;lexical;None
emph;grammatical;particle_semantics
prox;grammatical;particle_semantics
GEN;grammatical;case
lord;lexical;None
q;grammatical;interrogative
stupid;lexical;None
empty;lexical;None
from;lexical;None
tongue;lexical;None
beat;lexical;None
life;lexical;None
famous;lexical;None
saint;lexical;None
on;lexical;preposition
more;lexical;None
other;lexical;None
none;lexical;None
may;lexical;None
hand;lexical;None
obstacle;lexical;None
lie;lexical;None
at_all;lexical;None
for;lexical;preposition
sorry;lexical;None
acc;grammatical;case
fsg;grammatical;gender_number
spit;lexical;None
ask;lexical;None
prs2sg;grammatical;None
try;lexical;None
you;lexical;None
can;lexical;None
thought;lexical;None
ptcp;grammatical;verb_form
bosh;lexical;None
comp;grammatical;degree
pity;lexical;None
if_only;lexical;None
very;lexical;None
let's;lexical;None
2sg;grammatical;person_number
cncs1;grammatical;particle_semantics
light;lexical;None
pts;grammatical;verb_form
protest;lexical;None
what;lexical;None
cmpr;grammatical;degree
inst;grammatical;case
PRS;grammatical;tense
qp;grammatical;interrogative
prep;grammatical;POS
here;lexical;None
soon;lexical;None
lot;lexical;None
conversation;lexical;None
speak;lexical;None
start;lexical;None
fut;grammatical;tense
force;lexical;None
dire;lexical;None
thank;lexical;None
ger;grammatical;verb_form
and;lexical;conjunction
prt;grammatical;POS
obviously;lexical;None
say;lexical;None
although;lexical;None
unlikely;lexical;None
absolutely;lexical;None
yet;lexical;None
resentment;lexical;None
m;grammatical;gender
come;lexical;None
precisely;lexical;None
occasion;lexical;None
when;lexical;None
money;lexical;None
save;lexical;None
completely;lexical;None
simple;lexical;None
please;lexical;None
carit;grammatical;None
soul;lexical;None
partititve;grammatical;None
have;lexical;None
that's;lexical;None
i;lexical;pronoun
connection;lexical;None
she;lexical;pronoun
drive;lexical;None
news;lexical;None
believe;lexical;None
god;lexical;None
chew;lexical;None
incident;lexical;None
crazy;lexical;None
nonsense;lexical;None
real;lexical;None
throw;lexical;None
seriously;lexical;None
pray;lexical;None
nothing;lexical;None
laugh;lexical;None
smear;lexical;None
jibberish;lexical;None
but;lexical;conjunction
business;lexical;None
measure;lexical;None
no;lexical;answering_particle
indeed;lexical;None
issue;lexical;None
person;lexical;None
near;lexical;None
fear;lexical;None
idea;lexical;None
top;grammatical;particle_semantics
suddenly;lexical;None
caus;grammatical;None
effect;lexical;None
av;lexical;verb_form
short;lexical;None
already;lexical;None
enough;lexical;None
def;grammatical;definiteness
truthful;lexical;None
comprehension;lexical;None
doubt;lexical;None
defend;lexical;None
nobody;lexical;None
topic;lexical;None
just;lexical;None
see;lexical;None
appearance;lexical;None
f;grammatical;gender
God;lexical;None
red;other;None
exact;lexical;None
ptc;grammatical;None
1pl;grammatical;person_number
clear;lexical;None
sure;lexical;None
cow;lexical;None
brother;lexical;None
pst;grammatical;tense
wave;lexical;None
course;lexical;None
cncs;grammatical;particle_semantics
demon;lexical;None
(only);lexical;None
3SG;grammatical;person_number
of;lexical;preposition
mercy;lexical;None
poss;grammatical;None
imagine;lexical;None
obvious;lexical;None
right;lexical;None
generally;lexical;None
mistake;lexical;None
tell;lexical;None
cop;grammatical;POS
inf;grammatical;verb_form
anyway;lexical;None
why;lexical;interrogative
finally;lexical;None
blabber2;lexical;None
true;lexical;None
my;lexical;None
hide;lexical;None
creature;lexical;None
adjr;lexical;None
dem1;grammatical;particle_semantics
voc;grammatical;case
fact;lexical;None
cut;lexical;None
agree;lexical;None
trouble;lexical;None
arrive;lexical;None
exactly2;lexical;None
he;lexical;None
two;lexical;None
without;lexical;None
hello;lexical;None
question;lexical;None
dem3;grammatical;particle_semantics
extraordinary;lexical;None
mind;lexical;None
tale;lexical;None
find;lexical;None
value;lexical;None
assume;lexical;None
inconspicuous;lexical;None
few;lexical;None
bet;lexical;conjunction
cont;lexical;tense
come_out;lexical;None
hey;lexical;None
be;lexical;None
pres;grammatical;tense
special;lexical;None
gledati;lexical;None
want;lexical;None
cost;lexical;None
know;lexical;None
that;lexical;None
possibly;lexical;None
only;lexical;None
similar;lexical;None
sbst;grammatical;word_formation
new;lexical;None
at;lexical;preposition
dist;grammatical;particle_semantics
baptized;lexical;None
dat;grammatical;case
verb;grammatical;word_formation
dream;lexical;None
invent;lexical;None
point;lexical;None
(pl);grammatical;number
another;lexical;None
kind;lexical;None
auxcond;grammatical;tense
way;lexical;None
adv;grammatical;word_formation
blabber1;lexical;None
a;lexical;None
hort;lexical;None
contr;grammatical;particle_semantics
importance;lexical;None
care;lexical;None
screw;lexical;None
in;lexical;preposition
part;grammatical;POS
touch;lexical;None
compliment;lexical;None
juxt;grammatical;particle_semantics
against;lexical;preposition
gracious;lexical;None
god's;lexical;None
